Название вакансии,Название компании,зарплата,ссылка на вакансию
Java Developer,Datanomica,до 220 000 ₽ на руки,https://hh.ru/vacancy/105470726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель IT (м. Тимирязевская),Компьютерная Академия Top,до 160 000 ₽ до вычета налогов,https://hh.ru/vacancy/105340239?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend разработчик (JavaScript/TypeScript),ООО ИТ-Капитал,до 300 000 ₽ на руки,https://hh.ru/vacancy/102573330?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-разработчик ПЛИС (ППВМ, FPGA, VHDL / Verilog)",НТЦ Радуга,80 000 – 230 000 ₽ до вычета налогов,https://hh.ru/vacancy/103366797?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C/Embedded Developer,TQB Russia,от 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/104465090?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик (Laravel),Code Dunes Solution,от 200 000 ₽ на руки,https://hh.ru/vacancy/104733639?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Backend Developer с перспективой TeamLead,ООО Брендсайд,300 000 – 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/104963312?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик сайтов на Bitrix,Цезарь Сателлит,120 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105298776?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle/Senior PHP Developer в команду iikoWeb,"iiko, Компания Aйко",от 230 000 ₽ на руки,https://hh.ru/vacancy/105762985?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С: WMS,Алабуга. Управление цифровой трансформации,от 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105972271?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Middle Python разработчик (Aiohttp, Fast Api)",ИП Мамаева Ирина Анатольевна,до 235 000 ₽ на руки,https://hh.ru/vacancy/105391291?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист технической поддержки (сопровождение ИТ системы),ООО Обоз,50 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/105458557?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик 1С / Технический архитектор 1С,ООО Артифекс Проф,до 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/106017858?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Махлина Людмила Вячеславовна,80 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/106107849?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Middle Developer (PHP),Reffection,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105258374?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle+/Senior PHP developer,ООО INDEX,от 270 000 ₽ на руки,https://hh.ru/vacancy/105899900?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Backend-разработчик PHP, Yii2",FOQUZ,120 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105144190?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle frontend developer (vue.js/nuxt),ООО Фабрика Решений,100 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105927425?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист микроконтроллеров / Разработчик,ООО ЛитТрансСервис,от 172 500 ₽ до вычета налогов,https://hh.ru/vacancy/103360637?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,ООО АРНИ,300 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/106038065?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист станков с ЧПУ,ООО Научно-Производственное Объединение Курсар,150 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/105296103?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle PHP Developer(Сlient Portal),Americor Funding Inc,3 300 – 4 100 $ на руки,https://hh.ru/vacancy/105860204?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java developer(финтех),Data World,до 230 000 ₽ на руки,https://hh.ru/vacancy/104840476?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Специалист отдела внедрения (российская продуктовая ИТ-компания, удалённо)",Первая Форма,50 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/105784703?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Backend - разработчик (Php, Laravel)",ECOS,до 250 000 ₽ на руки,https://hh.ru/vacancy/104697318?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист микроконтроллеров,ООО НПО ПКРВ,от 180 000 ₽ на руки,https://hh.ru/vacancy/94292902?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший разработчик 1С,АО МОСГАЗ,от 171 570 ₽ на руки,https://hh.ru/vacancy/106103389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Frontend Developer | Миддл Фронтенд Разработчик (React/Реакт),e-Comet,130 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105001453?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle/ Middle+ frontend-разработчик,Production IT,160 000 – 220 000 ₽ на руки,https://hh.ru/vacancy/105139657?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior (PHP) Backend Developer,Бронируй Онлайн,от 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105212704?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Tech-Lead, Team-Lead developer C# (.NET)",ООО КИТТ,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/106103917?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Python (django) разработчик,ООО Аптрейд,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105994259?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ручной тестировщик (QA Manual),Oxytocin,от 90 000 ₽ на руки,https://hh.ru/vacancy/104509986?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,АО РУТ КОД,до 300 000 ₽ на руки,https://hh.ru/vacancy/106003580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Golang разработчик,Wanted,до 120 000 ₽ на руки,https://hh.ru/vacancy/106117185?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С WMS (Axelot),ООО Джи Эф Си,250 000 – 280 000 ₽ на руки,https://hh.ru/vacancy/102745725?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend разработчик Angular Middle+,ООО К2Т,от 200 000 ₽ на руки,https://hh.ru/vacancy/105115400?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист 1 категории ( C/C++, Linux)","АО Моринформсистема-Агат, Концерн",до 180 000 ₽ на руки,https://hh.ru/vacancy/105952518?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP Laravel OctoberCMS(WinterCMS),Friend Lee,70 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/104876210?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Developer (Vue),ООО Инксекьюрити,150 000 – 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105606208?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java / Kotlin разработчик,ООО Аксета,до 200 000 ₽ на руки,https://hh.ru/vacancy/104884760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java / Kotlin разработчик,ООО Аксета,до 200 000 ₽ на руки,https://hh.ru/vacancy/104884760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang - разработчик,ИП Голдовский Игорь Витальевич,до 100 000 ₽ на руки,https://hh.ru/vacancy/106011552?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Bitrix разработчик PHP / Программист Битрикс,ООО Амига,до 140 000 ₽ до вычета налогов,https://hh.ru/vacancy/105752818?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Unity Developer,ИП Волеводз Дмитрий Александрович,40 000 – 60 000 ₽ на руки,https://hh.ru/vacancy/106085689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle backend developer С#,Астор,до 270 000 ₽ до вычета налогов,https://hh.ru/vacancy/99598085?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик,Innovasystem,от 180 000 ₽ на руки,https://hh.ru/vacancy/104956086?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный администратор /IT-специалист/Программист,ООО Факер Автогрупп,от 100 000 ₽ на руки,https://hh.ru/vacancy/105336991?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Midlle разработчик С++,ООО АГ-Логистик,от 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/103491859?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Преподаватель 3D-моделирования/Робототехники/Программирования/Lego,Инжинириум МГТУ им. Н. Э. Баумана (ИП Мойзес Михаил Геннадьевич),до 80 000 ₽ на руки,https://hh.ru/vacancy/105986771?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP Symfony Developer (Middle),ITACWT,150 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/97633555?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Python (Middle),ООО Комплаинс Софт,от 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105384278?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Frontend разработчик,MPBoost,до 60 000 ₽ на руки,https://hh.ru/vacancy/104898041?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend php developer,InfraKAP,130 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104692514?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Data Engineer / Database Developer/ Разработчик баз данных,МОНЕТА,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/103873491?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик,DV Group,от 180 000 ₽ на руки,https://hh.ru/vacancy/106084190?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-консультант 1С,ООО Инсайт Люди,от 200 000 ₽ на руки,https://hh.ru/vacancy/105134300?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python-разработчик систем сбора,ООО Селфсек,100 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/72687495?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Консультант техподдержки 1С/Тестировщик 1С,Деснол Софт,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/104824222?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С ЗУП,ООО «Аксиома-Софт»,до 200 000 ₽ на руки,https://hh.ru/vacancy/88215586?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue.js),ООО Мангалиб,от 180 000 ₽ на руки,https://hh.ru/vacancy/105413174?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Swift разработчик (Middle/Junior),Aezakmi Group,до 160 000 ₽ на руки,https://hh.ru/vacancy/104849837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик JavaScript REACT,ИП Свистунова Екатерина Александровна,250 000 – 370 000 ₽ на руки,https://hh.ru/vacancy/105803250?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Android developer,Enjoypro,240 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105721223?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Python-разработчик,AERODISK,140 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/96610425?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Технопул-Р,от 150 000 ₽ на руки,https://hh.ru/vacancy/106039049?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Разработчик (Node.JS),BetBoom.IT,от 200 000 ₽ на руки,https://hh.ru/vacancy/105978828?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик PHP/JS (Laravel Fullstack),ООО Globaldrive,до 200 000 ₽ на руки,https://hh.ru/vacancy/105740572?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Frontend Engineer в офис в Москве (Vue.js, TypeScript)",Apart Sharing,200 000 – 280 000 ₽ на руки,https://hh.ru/vacancy/105047972?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик GO (Golang),TQB Russia,от 300 000 ₽ на руки,https://hh.ru/vacancy/104536458?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend developer (Angular),AppMagic,до 1 500 $ на руки,https://hh.ru/vacancy/106080332?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Golang Backend Developer,ООО 24Н Софт,от 200 000 ₽ на руки,https://hh.ru/vacancy/105758904?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior backend developer - Python,Novakid Inc,4 000 – 4 500 $ на руки,https://hh.ru/vacancy/104461502?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Python developer (senior/middle+),modesco,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104012674?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Middle Web-разработчик (FullStack) JavaScript, React",ООО АКСИТЕХ,120 000 – 160 000 ₽ на руки,https://hh.ru/vacancy/81078634?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java Developer,Datanomica,200 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/105341551?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior NodeJS Developer,ООО Инженерный Центр Информационно-аналитических систем,до 400 000 ₽ на руки,https://hh.ru/vacancy/105779406?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java разработчик (Software Engineer),АО Консалт Плюс,до 450 000 ₽ до вычета налогов,https://hh.ru/vacancy/82863865?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С: ЗУП,"Красное & Белое, розничная сеть",290 000 – 290 000 ₽ на руки,https://hh.ru/vacancy/91313039?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик 1С Битрикс (Middle/Middle+),Лама Торф,90 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/105922275?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик (проект Электронная подпись),Datanomica,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105254997?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Tech Lead C#,Dex,300 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105798228?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер АСУТП (Программист ПЛК),ООО Международные инженерные решения,от 150 000 ₽ на руки,https://hh.ru/vacancy/105550221?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик ЕХД,CORE,250 000 – 380 000 ₽ на руки,https://hh.ru/vacancy/105999494?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
